thr,treat,date,fips,Z,G,tau_dir_log,tau_peer_log,tau_overall_log,sigma_log
0.25,vax2,2021-02-15,6037,0,0.0,0.03327909715982805,0.0,0.03327909715982805,0.027373177276530904
0.25,vax2,2021-02-15,6039,0,0.0,-0.003472642278341814,0.0,-0.003472642278341814,0.027373177276530904
0.25,vax2,2021-02-15,6041,1,0.0,-0.016131020860482112,0.0,-0.016131020860482112,0.027373177276530904
0.25,vax2,2021-02-15,6043,0,0.0,-0.043416514792761596,0.0,-0.043416514792761596,0.027373177276530904
0.25,vax2,2021-02-15,6045,1,0.0,0.0028100704356515474,0.0,0.0028100704356515474,0.027373177276530904
0.25,vax2,2021-02-15,6047,0,0.0,0.025066756431313602,0.0,0.025066756431313602,0.027373177276530904
0.25,vax2,2021-02-15,6049,0,0.0,0.014821031909638937,0.0,0.014821031909638937,0.027373177276530904
0.25,vax2,2021-02-15,6051,0,0.0,-0.015506676628630436,0.0,-0.015506676628630436,0.027373177276530904
0.25,vax2,2021-02-15,6053,0,0.0,0.01961627920774042,0.0,0.01961627920774042,0.027373177276530904
0.25,vax2,2021-02-15,6055,1,0.0,-0.002421158266195943,0.0,-0.002421158266195943,0.027373177276530904
0.25,vax2,2021-02-15,6057,0,0.0,-0.013515467207264625,0.0,-0.013515467207264625,0.027373177276530904
0.25,vax2,2021-02-15,6059,0,0.0,0.043412546305583825,0.0,0.043412546305583825,0.027373177276530904
0.25,vax2,2021-02-15,6061,1,0.0,-0.015265118204596988,0.0,-0.015265118204596988,0.027373177276530904
0.25,vax2,2021-02-15,6063,0,0.0,-0.015782613085022462,0.0,-0.015782613085022462,0.027373177276530904
0.25,vax2,2021-02-15,6065,0,0.0,0.0008210067862829437,0.0,0.0008210067862829437,0.027373177276530904
0.25,vax2,2021-02-15,6067,0,0.0,0.028851179852226606,0.0,0.028851179852226606,0.027373177276530904
0.25,vax2,2021-02-15,6069,0,0.0,-0.03258964918454297,0.0,-0.03258964918454297,0.027373177276530904
